COUNTRY,YEAR,LGASPCAR,LINCOMEP,LRPMG,LCARPCAP
AUSTRIA,1960,4.173244195,-6.474277179,-0.334547613,-9.766839569
BELGIUM,1960,4.16401597,-6.215091247,-0.165709611,-9.405527025
CANADA,1960,4.855238441,-5.889713473,-0.972106499,-8.3789165
DENMARK,1960,4.50198595,-6.061725596,-0.195702601,-9.326160698
FRANCE,1960,3.907704233,-6.264362825,-0.019598332,-9.14570608
GERMANY,1960,3.916953172,-6.159837053,-0.185910784,-9.342480765
GREECE,1960,5.037405535,-7.164861448,-0.083547398,-12.17381369
IRELAND,1960,4.270420603,-6.722465569,-0.076481181,-9.6981444
ITALY,1960,4.050728238,-6.727487472,0.165077076,-10.14209792
JAPAN,1960,5.995286556,-6.986196345,-0.14532271,-12.23507894
NETHERLA,1960,4.646268005,-6.216364517,-0.201484804,-9.998449361
NORWAY,1960,4.43504067,-6.090356145,-0.139689574,-9.675052247
SPAIN,1960,4.749409172,-6.166085331,1.125310702,-11.58840261
SWEDEN,1960,4.063010036,-8.07252353,-2.52041588,-8.742679056
SWITZERL,1960,4.397621493,-6.156074462,-0.82321833,-9.262399581
TURKEY,1960,6.129552849,-7.801144247,-0.253408214,-13.47518475
U.K.,1960,4.100244284,-6.186849218,-0.391085814,-9.117623416
U.S.A.,1960,4.823964512,-5.698373774,-1.121114893,-8.019457853